title,directors,adaptors,starring,genre,country,release_date,runtime,rate
双面情人 L'amant double,弗朗索瓦·欧容,乔伊思·卡罗尔·奥特兹/弗朗索瓦·欧容/菲利普·皮亚佐,玛丽恩·瓦科特/热雷米·勒尼埃/杰奎琳·比塞特/米丽娅姆·博耶/多米尼克·雷蒙/安托万·德·拉·莫利内利/让-保尔·米埃尔/贝诺提·吉欧斯,剧情/爱情/惊悚, 法国 / 比利时,2017-05-26(戛纳电影节/法国),107分钟,6.9
有完没完,王啸坤,杨曼珠,范伟/贾静雯/刘俊昊/隋凯/宋阳/范湉湉/林更新/薛之谦/赵英俊/孔连顺/刘长生/于笑/李俊豪/柴蔚/张美娥/徐小溢/陈维涵/史耀中/肥龙/马洪磊/宋祖儿,剧情/喜剧, 中国大陆,2017-04-01(中国大陆),99分钟,5.4
李雷和韩梅梅,杨永春,肖李任颐/杨永春/陈林/骆平,张子枫/张逸杰/成梓宁/李砚/常铖/王旭东/张诚航/苗皓钧/花希/马泽涵/应亦涵/朱子岩/李扬/郝平/王菁华/塞拉斯·列维·纽豪斯,剧情/喜剧/爱情, 中国大陆,2017-06-09(中国大陆),90分钟,3.4
美丽心境界 Imagine,安杰伊·亚基莫夫斯基,安杰伊·亚基莫夫斯基,亚历山德拉·玛丽亚·拉腊/爱德华·霍格/David Atrakchi,剧情, 波兰 / 葡萄牙 / 法国 / 英国,2012-10-13,105分钟,8.3
鲁邦三世：次元大介的墓碑 LUPIN THE IIIRD 次元大介の墓標,小池健,高橋悠也,栗田贯一/小林清志/泽城美雪/山寺宏一/广濑彰勇,动作/动画/犯罪, 日本,2014-06-21(日本),51分钟,8.6
西葫芦的生活 Ma vie de courgette,克洛德·巴拉斯,吉勒斯·帕瑞斯/瑟琳·席安玛/杰马诺·祖罗/克洛德·巴拉斯/莫根·纳瓦罗,加斯帕德·施拉特/西斯汀·穆拉特/波林·雅库/米歇尔·维耶尔莫/劳尔·里贝拉/埃斯特尔·亨纳德/埃利奥特·桑切斯/卢·威克/布丽奇特·罗塞特/娜塔莎·科奇库莫夫/莫妮卡·布德/阿德里安·巴拉佐尼/维诺妮可·蒙特尔/罗马妮·科瑞特尼/伊芙琳·布维尔/伦纳德·杰纳/安妮-劳雷·布雷西/让-克劳德·伊森曼/伊安尼斯·雅库/埃里克·阿巴特/威尔·福特/尼克·奥弗曼/艾伦·佩吉/玢·罗宾斯/艾米·塞德丽丝/克拉拉·杨,喜剧/动画/儿童, 瑞士 / 法国,2016-05-15(戛纳电影节)/2016-09-22(瑞士)/2016-10-19(法国),66分钟,8.3
伦敦一家人 Ethel & Ernest,罗杰·梅因伍德,罗杰·梅因伍德/雷蒙德·布里格斯,卢克·崔德威/吉姆·布劳德本特/帕姆·费里斯/布兰达·布莱斯/罗杰·阿拉姆/彼得·怀特/弗吉尼亚·麦肯娜/茱恩·布朗/西蒙·戴/亚历克斯·乔丹,剧情/动画/家庭, 英国,2016-10-15(伦敦电影节)/2016-10-28(英国),94分钟,8.7
超凡战队 Power Rangers,迪恩·以色列特,扎克·施坦茨/罗伯托·奥奇/伯克·沙普利斯/马特·萨兹马/阿什利·米勒/约翰·盖汀斯/马克斯·兰迪斯  /哈伊姆·萨班/舒基·莱维,戴克·蒙哥马利/娜奥米·斯科特/RJ·赛勒/林路迪/贝姬·戈麦斯/伊丽莎白·班克斯/布莱恩·科兰斯顿/比尔·哈德尔/马特·夏夫利/科迪·基尔斯利/大卫·丹曼/罗伯特·莫隆尼/安贾莉·杰/莎拉·格雷/摩根·泰勒·坎贝尔,动作/科幻/冒险, 美国 / 香港 / 加拿大,2017-05-12(中国大陆)/2017-03-24(美国),124分钟,4.6
亚瑟王：斗兽争霸 King Arthur: Legend of the Sword,盖·里奇,卓比·哈罗德/盖·里奇/莱昂内尔·威格拉姆/大卫·道金,查理·汉纳姆/裘德·洛/阿斯特丽德·伯格斯-弗瑞斯贝/米卡埃尔·佩斯布兰特/杰曼·翰苏/安娜贝拉·沃丽丝/艾瑞克·巴纳/艾丹·吉伦/尼尔·马斯克尔/赫敏·科菲尔德/凯蒂·麦克格雷斯/杰奎·安斯蕾/弗莱迪·福克斯/波比·迪瓦伊/朱利安·西格尔/大卫·贝克汉姆/杰夫·贝尔/米莉·布拉迪/乔治娜·坎贝尔/丹尼尔·斯蒂森/伊琳·珀威尔/迈克尔·麦克埃尔哈顿/阿德里安·布薛特/彼得·费迪南多/汤姆·吴/金斯利·本-阿德/盖·里奇,动作/奇幻/冒险, 美国,2017-05-12(中国大陆/美国),126分钟,7.2
烈日灼心,曹保平,曹保平/焦华静,邓超/段奕宏/郭涛/王珞丹/吕颂贤/高虎/白柳汐/杜志国,剧情/悬疑/犯罪, 中国大陆,2015-08-27(中国大陆)/2015-06-15(上海电影节),139分钟,7.9
老手 베테랑,柳昇完,柳昇完,黄晸玟/刘亚仁/柳海真/吴达洙/郑满植/郑雄仁/张允珠/金时厚/陈庆/刘仁英/朴素丹,剧情/动作, 韩国,2015-08-05(韩国),124分钟,7.5
欺诈圣手 The Wizard of Lies,巴瑞·莱文森,黛安娜·亨利奎斯/萨姆·李文森/塞缪尔·鲍姆/约翰·伯纳姆·施瓦茨,罗伯特·德尼罗/米歇尔·菲佛/汉克·阿扎利亚/克里斯汀·康奈利/亚历桑德罗·尼沃拉/莉莉·拉贝/内森·达罗/凯瑟琳·纳杜奇/凯利·奥科/迈克尔·A.戈尔杰/克莱姆·张/迈克尔·卡斯洛夫/波特兰·赫尔米奇/阿曼达·沃伦/杰弗里·坎特尔/马尔塔·米兰斯/马科·查卡/索菲·冯·海索博格/斯蒂芬·考特尔,剧情/传记/历史/犯罪, 美国,2017-05-20(美国),133分钟,6.5
我们 Sobre Nós,Mauro Carvalho,Thiago Cazado,Thiago Cazado/Mauro Carvalho/Rodrigo Bittes/Leandro Menezes/Carmem Moretzsohn/Andreessa Lee,剧情/爱情/同性, 巴西,,73分钟,7.1
恶女 악녀,郑秉吉,郑秉吉/郑秉希,金玉彬/申河均/盛骏/金瑞亨/曹恩智/朴哲民/郑海钧,剧情/动作, 韩国,2017-05-21(戛纳电影节)/2017-06-08(韩国),123分钟,6.1
真实 리얼,李沙朗,李正燮,金秀贤/成东日/韩智恩/李圣旻/崔雪莉/赵宇镇/崔权/郑仁谦/金弘波/李璟荣/丁瑞奇,剧情/动作, 韩国,2017-06-28(韩国),137分钟,5.0
精灵王座,宋岳峰,卓然,王梓/陶典/季冠霖/黄莺,动画, 中国大陆,2016-08-19(中国大陆),104分钟,7.5
珈百璃的堕落 ガヴリールドロップアウト,太田雅彦,青岛崇,富田美优/大西沙织/大空直美/花泽香菜/水濑祈,喜剧/动画, 日本,2017-01-09(日本),24分钟,7.6
大卫贝肯之倒霉特工熊,李清舫,,汤水雨/徐佳琦/杨默,喜剧/动画/家庭/冒险, 中国大陆,2017-01-13(中国大陆),90分钟,4.4
黑暗正义联盟 Justice League Dark,杰伊·欧力瓦,J·M·德马泰/厄尼·阿特巴克/杰里·西格尔/乔·舒斯特/鲍勃·凯恩/比尔·芬格/威廉·马斯顿/史提夫·比塞特/阿诺德·德雷克/杰克·科比/莱恩·韦恩/伯尼·莱特森/伽德纳·福克斯/尼尔·亚当斯/卡迈恩·因凡蒂诺/艾伦·摩尔/马文·沃夫曼/丹尼·奥尼尔/谢尔顿·梅尔,马特·瑞安/卡米拉·卢丁顿/杰森·奥玛拉/雷·蔡斯/恩里克·克兰东尼/罗杰·R.克劳斯/杰瑞米·戴维斯/罗莎里奥·道森/布莱恩·T·德莱尼/阿尔弗雷德·莫里纳/杰瑞·奥康奈尔/科琳·欧肖内希/杰弗里·文森特·帕里塞/劳拉·波斯特/弗莱德·塔他斯西奥/迪·布拉雷·贝克尔/JB·布兰科,动作/科幻/动画/惊悚/奇幻, 美国,2017-01-24/2017-02-07(美国),75分钟,7.3
熊出没·奇幻空间,林永长/林汇达/丁亮,崔铁志/万秦/徐芸,尚雯婕/鲍春来/孙建弘/曾舜晞,动画/儿童, 中国大陆,2017-01-28(中国大陆),89分钟,6.4
萤火奇兵,邓伟锋,邓伟锋,山新/姚雷/郭盛/李姗姗/张圣/邓伟锋/宋明/陈喆,喜剧/动画/奇幻/冒险, 中国大陆,2017-02-05(中国大陆),85分钟,5.0
哆啦A梦：大雄的南极冰冰凉大冒险 ドラえもん のび太の南極カチコチ大冒険,高桥敦史,高桥敦史/藤子·F·不二雄,水田山葵/大原惠美/嘉数由美/木村昴/关智一/藤本千秋/钉宫理惠/金井美香/三石琴乃,动画/冒险, 日本,2017-05-30(中国大陆)/2017-03-04(日本),101分钟,6.6
宝贝老板 The Boss Baby,汤姆·麦格拉思,迈克尔·麦库勒斯/玛拉·弗雷齐,亚历克·鲍德温/迈尔斯·克里斯托弗·巴克什/吉米·坎摩尔/丽莎·库卓/史蒂夫·布西密/托比·马奎尔/詹姆斯·麦格拉思/康拉德·弗农/薇薇安·叶/小埃里克·贝尔/大卫·索伦/伊迪·米尔曼/詹姆斯·雷恩/沃尔特·道恩/朱尔斯·温特,喜剧/动画, 美国,2017-03-12(迈阿密电影节)/2017-03-31(美国),97分钟,7.3
少年泰坦：犹大契约 Teen Titans: The Judas Contract,刘山姆,厄尼·阿特巴克,斯图尔特·艾伦/杰克·T·奥斯汀/泰莎·法米加/肖恩·马希尔/克里斯蒂娜·里奇/布兰登·司徒/凯瑞·华格伦/米盖尔·弗尔/格雷格·亨利/玛丽亚·卡纳尔斯-巴雷拉/梅格·福斯特/克里斯平·弗里曼/大卫·卡耶/凯文·史密斯,动作/动画, 美国,2017-03-31(阿纳海姆-WonderCon)/2017-04-04/2017-04-18,84分钟,6.6
名侦探柯南：唐红的恋歌 名探偵コナン から紅の恋歌,静野孔文,大仓崇裕/青山刚昌,高山南/山崎和佳奈/小山力也/堀川亮/宫村优子/绪方贤一/岩居由希子/高木渉/大谷育江/林原惠美/宫川大辅/吉冈里帆/雪野五月,动画/悬疑, 日本,2017-04-15(日本),112分钟,6.7
BLAME!,濑下宽之,贰瓶勉/村井贞之,樱井孝宏/花泽香菜/雨宫天/山路和弘/宫野真守/洲崎绫/岛崎信长/梶裕贵/丰崎爱生/早见沙织,科幻/动画, 日本,2017-05-20(日本),106分钟,7.6
魔弦传说 Kubo and the Two Strings,特拉维斯·奈特,马克·海姆斯/克里斯·巴特勒,查理兹·塞隆/马修·麦康纳/拉尔夫·费因斯/阿特·帕金森/鲁妮·玛拉/武井乔治/田川洋行/野路美苗/布伦达·瓦卡罗/肯·竹本,动画/奇幻/冒险, 美国,2017-01-13(中国大陆)/2016-08-19(美国),102分钟,7.4
麦兜·饭宝奇兵,谢立文,谢立文,金刚/大汪/张正中/彭博/孙小妞,喜剧/动画/冒险, 中国大陆 / 香港,2016-09-15(中国大陆),90分钟,6.2
声之形 聲の形,山田尚子,吉田玲子/大今良时,入野自由/早见沙织/松冈茉优/悠木碧/小野贤章/金子有希/石川由依/潘惠美/丰永利行,剧情/爱情/动画, 日本,2017-09-08(中国大陆)/2016-09-17(日本),129分钟,7.3
逗鸟外传：萌宝满天飞 Storks,尼古拉斯·斯托勒/道格·斯威特兰德,尼古拉斯·斯托勒,安迪·萨姆伯格/凯蒂·克朗/凯尔希·格兰莫/詹妮弗·安妮斯顿/泰·布利尔/安东·斯塔克曼/科甘-迈克尔·凯/乔丹·皮尔/丹尼·特雷霍/史蒂芬·克雷默·格利克曼/克里斯托弗·尼古拉斯·史密斯/奥卡菲娜/伊克·巴里霍尔兹/乔玛·塔科内/阿曼达·隆德,喜剧/动画/奇幻/冒险, 美国,2016-09-23(中国大陆/美国),87分钟,7.5
数码宝贝大冒险tri. 第3章：告白 デジモンアドベンチャー tri. 第3章 告白,元永庆太郎,柿原优子,田村睦心/樱井孝宏/荒川美穗/森下由树子/花江夏树/三森铃子/细谷佳正/吉田仁美/池田纯矢/榎木淳弥/市道真央/坂本千夏/山口真弓/重松花鸟/山田木野子/竹内顺子/松本美和/德光由禾,科幻/动画/冒险, 日本,2016-09-24,101分钟,7.6
爵迹,郭敬明,郭敬明,范冰冰/吴亦凡/陈学冬/陈伟霆/郭采洁/杨幂/林允/严屹宽/李治廷/王源/汪铎/郭敬明,动画/奇幻, 中国大陆,2016-09-29(中国大陆),121分钟,3.8
铠甲勇士捕王,郑国伟,郑国伟,赖艺/王畅唱/曲澔濬/于小凌/戴鑫龙/刘俐嘉/贾如/张子夜/王永峰/王鹏轩,动作/动画/奇幻/冒险, 中国大陆,2016-10-02(中国大陆),86分钟,3.7
蝙蝠侠：披风斗士归来 Batman: Return of the Caped Crusaders,里克·莫拉莱斯,詹姆斯·塔克/迈克尔·杰勒尼克/威廉·多兹尔/鲍勃·凯恩/比尔·芬格/艾德蒙·汉弥顿/杰瑞·罗宾逊/谢尔顿·莫道夫/迪克·史邦,亚当·威斯特/波特·瓦德/朱莉·纽玛/杰夫·伯格曼/赛丽娜·欧文/托马斯·列农/威廉·赛莱耶/琳恩·玛丽·斯图尔特/吉姆·瓦德/斯蒂文·韦伯/瓦利·维吉尔特,喜剧/动作/动画/冒险, 美国,2016-10-06(纽约动漫展)/2016-10-11(美国),78分钟,6.3
杀戮都市：O GANTZ:O,佐藤敬一/川村泰,黑岩勉,小野大辅/市道真央/郭智博/早见沙织/池田秀一/津嘉山正种/小野坂昌也/津田健次郎/小川辉晃/吉田尚纪/梶裕贵,动作/动画, 日本,2016-10-14(日本),96分钟,7.8
魔发精灵 Trolls,迈克·米歇尔/沃尔特·道恩,乔纳森·阿贝尔/格伦·伯杰/埃丽卡·里维诺亚/托马斯·丹姆,安娜·肯德里克/贾斯汀·汀布莱克/佐伊·丹斯切尔/克里斯托夫·梅兹-普莱瑟/克里斯汀·芭伦斯基/拉塞尔·布兰德/格温·斯蒂芬妮/约翰·克立斯/詹姆斯·柯登/杰弗里·塔伯/罗恩·芬奇斯/艾诺·贾沃/卡洛琳·耶尔特/昆瑙·内亚/奎文赞妮·瓦利斯/沃尔特·道恩/瑞斯·达比/瑞奇·狄龙/葛洛泽尔·格林/康达尔·约翰逊/格雷斯·赫尔比希/柯提斯·史东/迈克·米歇尔,动画/歌舞/奇幻/冒险, 美国,2016-10-28(中国大陆)/2016-11-04(美国),93分钟,7.2
